"cohort","patient","cell","MES","AC","OPC","NPC","state","bp_x","bp_y"
"10X","124","124_2_883",0.385442875224795,-0.427920354283749,-0.226242187125892,-0.247535728556629,"MES",0.858667936071466,-0.611685062350687
"10X","124","124_2_885",1.09257670472598,-0.426403301999268,-0.30325681475934,-0.202097032544078,"MES",1.33283967137235,-1.29467373727006
"10X","124","124_2_886",1.2369323404087,-0.65875168696655,-0.548154482446271,-0.233452667289319,"MES",1.53390418632691,-1.47038500769801
"10X","124","124_2_888",-0.11615303541257,-0.539029222617306,-0.250473397190965,1.17751008284954,"NPC",1.27975860555376,1.29366311826211
"10X","124","124_2_889",0.348612139317333,-0.510970136104779,-0.273002379565999,-0.390009581638498,"MES",0.894978580010983,-0.621614518883332
"10X","124","124_2_890",-0.244457911775307,-0.597685271759448,-0.124394786447612,1.4328570249038,"NPC",1.35459422905864,1.67731493667911
"10X","124","124_2_891",0.478101122111834,0.491401765166498,0.301211142430275,0.118559431174614,"AC",-0.0190622806480346,-0.190190622736223
"10X","124","124_2_892",0.0464947958344402,-0.536031659919376,0.0032772744203195,1.36530502432637,"NPC",1.24002591410707,1.31881022849193
"10X","124","124_2_893",0.350040895610567,-0.547195540911015,-0.345885170977271,-0.239498372393905,"MES",0.92389948082726,-0.589539268004472
"10X","124","124_2_895",1.20727957767535,-0.397618611843989,-0.0576615501229748,-0.234561411576785,"MES",1.38122698695834,-1.26494112779833
"10X","124","124_2_896",0.959370734740877,0.488841401935072,-0.0638463930993804,-0.187237391355715,"MES",0.556335562104204,-1.02321712784026
"10X","124","124_2_897",1.19972331320896,-0.556924708903408,-0.194772251293869,-0.271829597660579,"MES",1.46291507105859,-1.39449556450283
"10X","124","124_2_898",-0.0846518764269667,-0.544857318285488,-0.0695241565522247,1.47749299780338,"NPC",1.34880867630642,1.56214487423034
"10X","124","124_2_899",-0.157861273426463,-0.474046855120728,-0.230040586744573,1.38996364538743,"NPC",1.38956914217148,1.5478249188139
"10X","124","124_2_900",0.063074162340457,-0.441023707523986,-0.208822244815212,1.70229052679367,"NPC",1.54157072812079,1.63921636445321
"10X","124","124_2_901",0.900713848900209,0.405619817633397,0.0339464035996324,0.0898184184287731,"MES",0.580236223002799,-0.810895430471436
"10X","124","124_2_902",0.957399623921919,-0.470882138540594,-0.2459510333875,-0.349775676205859,"MES",1.27993583251731,-1.20335065730942
"10X","124","124_2_903",0.507194620706948,-0.431999737052081,-0.275639483108719,-0.281128902472203,"MES",0.955457406293081,-0.782834103815667
"10X","124","124_2_904",-0.188150174012111,-0.465761969592787,-0.0923985582024795,1.64853384242681,"NPC",1.45466674754366,1.83668401643892
"10X","124","124_2_905",-0.14568464263094,-0.408315953283679,-0.075295750480805,1.44352247058806,"NPC",1.33274700892194,1.589207113219
"10X","124","124_2_906",0.731462518176566,-0.565665604360315,-0.238588406600943,-0.348215712455434,"MES",1.1998313254114,-0.97005092477751
"10X","124","124_2_907",0.229772658948207,-0.119774995296688,0.15451486220622,0.753304408196035,"NPC",0.67698004454728,0.523531749247829
"10X","124","124_2_908",1.02160684844882,0.61884438370196,0.0569062749494335,-0.141362116148527,"MES",0.488270732446978,-0.964700573499387
"10X","124","124_2_909",0.072594219130649,-0.611980500419255,-0.299994971793565,0.65226910536127,"NPC",0.965148215315402,0.579674886230621
"10X","124","124_2_910",0.82491070479589,0.817171146047148,0.573350727283855,0.0510585878308794,"MES",0.0111228354147959,-0.251559977512036
"10X","124","124_2_911",0.661703376442199,-0.418915368149675,-0.233602217508776,-0.065032183326538,"MES",1.05701262789009,-0.726735559768737
"10X","124","124_2_912",0.468313539126068,-0.526088368879123,-0.315664999570715,-0.344617400344853,"MES",0.995956168140762,-0.783978538696783
"10X","124","124_2_913",0.7458926752246,-0.400213357434469,-0.162392707082155,-0.250207448092799,"MES",1.10172135708809,-0.908285382306755
"10X","124","124_2_914",-0.0525353275479566,-0.546660512972759,-0.257183534844604,0.538951643036566,"NPC",0.844895931994403,0.591486970584522
"10X","124","124_2_915",0.390486191444303,-0.0904767222386736,-0.129188965953291,-0.240946304069333,"MES",0.56653551306729,-0.519675157397594
"10X","124","124_2_916",0.862055653637464,-0.157423001746115,-0.34311113877281,-0.27717459173279,"MES",1.01398289774439,-1.13923024537025
"10X","124","124_2_917",0.728078140575054,-0.576391692575075,-0.184611502692568,-0.193451678881852,"MES",1.20443488208134,-0.912689643267621
"10X","124","124_2_918",0.956822410614119,-0.538424680023329,-0.221487250820845,-0.448663276163867,"MES",1.31918268481575,-1.17830966143496
"10X","124","124_2_919",0.212479111805326,-0.50308902910133,-0.297725977405676,-0.324404158707187,"MES",0.778686429652934,-0.510205089211002
