"cluster","rank","gene","score","pval","pval_adj","logfc"
"3",37,"HSPA5",1.13847898035474,3.79932199903738e-08,0.000521039018947987,1.13847898035474
"3",38,"PTPRCAP",1.11822387284461,7.41803755961124e-39,1.01730967092508e-34,1.11822387284461
"3",39,"CD2",1.11234260344233,5.23807440038174e-19,7.18349523268352e-15,1.11234260344233
"3",40,"ARPC5L",1.10259484134021,2.36202170095258e-10,3.23927656068637e-06,1.10259484134021
"3",41,"LCK",1.09204695485475,5.02294096289275e-28,6.88846123651112e-24,1.09204695485475
"3",42,"MYO1F",1.07982515399948,5.47538774903305e-11,7.50894675902393e-07,1.07982515399948
"3",43,"GIMAP5",1.03783423230774,0.000131627153301799,1,1.03783423230774
"3",44,"LAT",1.02703189662349,4.54204588421835e-11,6.22896172561704e-07,1.02703189662349
"3",45,"YWHAQ",1.0186727304996,6.83859915518692e-10,9.37845488142334e-06,1.0186727304996
"3",46,"RARRES3",1.0121997043571,8.39387960570788e-22,1.15113664912678e-17,1.0121997043571
"3",47,"SUN2",0.980536848724822,8.3536476057756e-09,0.000114561923265607,0.980536848724822
"3",48,"CD99",0.964277104437552,1.69828321073895e-25,2.3290255952074e-21,0.964277104437552
"3",49,"PIM1",0.935199612514544,5.63741007628584e-07,0.0077311441786184,0.935199612514544
"3",50,"CAPN2",0.921914771913919,0.00139372549638539,1,0.921914771913919
"4",1,"CKB",5.88412227003028,3.79579236382889e-168,5.20554964775493e-164,5.88412227003028
"4",2,"CDKN1C",5.413126257155,3.2484063962262e-218,4.45486453178461e-214,5.413126257155
"4",3,"MS4A4A",4.97128434967001,1.66864001959233e-130,2.28837292286892e-126,4.97128434967001
"4",4,"HES4",4.92854087734109,4.49245386452186e-203,6.16095122980528e-199,4.92854087734109
"4",5,"BATF3",4.65978193871083,2.31701063515732e-99,3.17754838505475e-95,4.65978193871083
"4",6,"CTD-2006K23.1",4.42233254456782,5.7373832725874e-83,7.86824742002636e-79,4.42233254456782
"4",7,"MS4A7",4.38348296856761,4.77297141828098e-184,6.54565300303053e-180,4.38348296856761
"4",8,"RP11-290F20.3",4.12067943460672,1.4976713975322e-210,2.05390655457566e-206,4.12067943460672
"4",9,"HMOX1",4.0760186935533,7.97960597362851e-126,1.09432316322341e-121,4.0760186935533
"4",10,"FCGR3A",4.03343977581392,3.67354621858313e-180,5.03790128416491e-176,4.03343977581392
"4",11,"LILRA3",3.91169930891139,1.15428631137831e-131,1.58298824742422e-127,3.91169930891139
"4",12,"SIGLEC10",3.83721676105188,2.14836272974912e-119,2.94626464757795e-115,3.83721676105188
"4",13,"CTSL",3.78023503236711,8.18501195997388e-124,1.12249254019082e-119,3.78023503236711
"4",14,"TPPP3",3.77800263968993,3.82510572326882e-85,5.24574998889086e-81,3.77800263968993
"4",15,"CXCL16",3.73305530878605,2.98266918602124e-99,4.09043252170953e-95,3.73305530878605
"4",16,"TCF7L2",3.67454158144767,1.42196583474069e-71,1.95008394576339e-67,3.67454158144767
"4",17,"CSF1R",3.64031123819316,6.48942452866135e-114,8.89959679860617e-110,3.64031123819316
"4",18,"LILRB1",3.60534989011882,1.99765677454992e-123,2.73958650061776e-119,3.60534989011882
"4",19,"LRRC25",3.45338478227465,2.48678470579404e-128,3.41037654552595e-124,3.45338478227465
"4",20,"PILRA",3.44715666679437,2.05547226076742e-130,2.81887465841643e-126,3.44715666679437
"4",21,"EMR2",3.33138307998099,8.87600852098176e-58,1.21725580856744e-53,3.33138307998099
"4",22,"IFITM3",3.27139195127229,1.15100952504825e-145,1.57849446265117e-141,3.27139195127229
"4",23,"FAM110A",3.25310113554669,8.35266039109882e-73,1.14548384603529e-68,3.25310113554669
"4",24,"LST1",3.22410118013145,8.01823810688917e-125,1.09962117397878e-120,3.22410118013145
"4",25,"LILRB2",3.22282928377135,3.41509142889128e-107,4.6834563855815e-103,3.22282928377135
"4",26,"SLC31A2",3.20496467189479,7.61991656851898e-85,1.04499535820669e-80,3.20496467189479
"4",27,"CAMK1",3.184296911381,3.66717326031028e-77,5.02916140918951e-73,3.184296911381
"4",28,"RHOC",3.17874632448037,2.51752396324407e-120,3.45253236319292e-116,3.17874632448037
"4",29,"RXRA",3.14250659284084,3.51852349922091e-48,4.82530312683156e-44,3.14250659284084
"4",30,"HCK",3.13742398272332,1.93122970763537e-122,2.64848842105114e-118,3.13742398272332
"4",31,"TESC",3.08848485861706,3.17639521745906e-87,4.35610840122336e-83,3.08848485861706
"4",32,"PTP4A3",3.05587773562187,8.46119549442935e-66,1.16036835010604e-61,3.05587773562187
"4",33,"FCER1G",2.93970678821569,2.68277165510021e-119,3.67915304780443e-115,2.93970678821569
"4",34,"OSCAR",2.91767118622336,2.8062730387439e-29,3.84852284533339e-25,2.91767118622336
"4",35,"LILRA5",2.90381124571548,6.43408793561494e-103,8.82370819490233e-99,2.90381124571548
"4",36,"ARRB1",2.89030166178878,1.1277859047177e-47,1.54664558972986e-43,2.89030166178878
"4",37,"WARS",2.88627691483871,4.6287166709812e-93,6.34782204258362e-89,2.88627691483871
"4",38,"IFI30",2.8787091922759,1.29961699930065e-108,1.78229475284092e-104,2.8787091922759
"4",39,"AIF1",2.87134558284106,2.08818047995816e-114,2.86373071021463e-110,2.87134558284106
"4",40,"SERPINA1",2.84200860040853,8.99807456737183e-118,1.23399594616937e-113,2.84200860040853
"4",41,"CNIH4",2.82315196525683,9.30066321161062e-29,1.27549295284028e-24,2.82315196525683
"4",42,"FAM49A",2.82258277356693,2.67310960949196e-57,3.66590251845727e-53,2.82258277356693
"4",43,"CD300LF",2.78749918330931,2.81303278893751e-63,3.8577931667489e-59,2.78749918330931
"4",44,"LILRA1",2.78651057138091,1.49641585670553e-41,2.05218470588597e-37,2.78651057138091
"4",45,"CD86",2.76896323878129,8.93356382437698e-44,1.22514894287506e-39,2.76896323878129
"4",46,"TIMP1",2.75883201807708,8.97485722169032e-87,1.23081191938261e-82,2.75883201807708
"4",47,"ABI3",2.75724566920452,1.57908328221146e-82,2.1655548132248e-78,2.75724566920452
"4",48,"SPI1",2.71350620174476,2.51151312046467e-111,3.44428909340525e-107,2.71350620174476
"4",49,"CEBPB",2.67898777224758,3.27074355569468e-88,4.48549771227969e-84,2.67898777224758
"4",50,"RELT",2.65848230391941,7.43908111558331e-33,1.0201955841911e-28,2.65848230391941
"5",1,"AKR1C3",6.18807970645886,1.74738539941504e-175,2.39636433675778e-171,6.18807970645886
"5",2,"SH2D1B",6.12832765330079,5.10421618196083e-112,6.99992207194108e-108,6.12832765330079
"5",3,"GNLY",6.00464175792152,5.39006157853914e-190,7.39193044880858e-186,6.00464175792152
"5",4,"GZMB",5.89223139607214,2.077139828147e-263,2.84858956032079e-259,5.89223139607214
"5",5,"XCL1",5.53084183821592,1.32482989333704e-129,1.81687171572241e-125,5.53084183821592
"5",6,"SPON2",5.48980689031522,2.27730315367807e-205,3.12309354495411e-201,5.48980689031522
"5",7,"XCL2",5.46582600042642,1.79544090428746e-171,2.46226765613982e-167,5.46582600042642
"5",8,"KLRF1",5.2812284987387,2.03417192057601e-93,2.78966337187794e-89,5.2812284987387
"5",9,"FGFBP2",5.24931854105538,3.31749651592999e-228,4.54961472194639e-224,5.24931854105538
"5",10,"CLIC3",5.22660916542451,1.14940005504894e-163,1.57628723549411e-159,5.22660916542451
