index,palantir_pseudotime,palantir_entropy,cluster,fate_Ery,fate_Lymph,fate_DC,fate_Mono
Run4_120797944278244,0.5117121157117899,0.9332536677232592,2,0.6790898486361195,0.041239779265828815,0.10046607967903681,0.179204292419039
Run4_120797944309486,0.48598946396039566,0.9453952901543459,2,0.6718993818973802,0.0421792239092361,0.10271298152931677,0.18320841266409107
Run4_120797944462237,0.2429171347268744,1.2872447381690404,1,0.2812013487998113,0.0989767289143239,0.22329349904224552,0.3965284232436304
Run4_120797944538971,0.361175436046783,1.090332614779425,2,0.5733150386432188,0.05599705710160256,0.13326378423751495,0.23742412001768531
Run4_120797945018284,0.9518950645074336,0.029506688401800808,8,0.9960586242310332,0.0,0.0,0.0
Run4_120797945084765,0.19357794441310758,1.326978948372594,0,0.283749621549996,0.13833980496083137,0.21052362452679532,0.36738694896238777
Run4_120864497952619,0.5921643451909565,1.0282049898848362,7,0.09772716118535747,0.03291772826070081,0.5584627305073984,0.3108923800465427
Run4_120864498109163,0.6096570789168619,0.5262191498731934,5,0.04092461460718528,0.8700283867545144,0.03341430633254193,0.05563269230576098
Run4_121202296155437,0.5474467130656526,0.8969186303499186,2,0.6997934715593745,0.0385043179784534,0.09400483237843194,0.16769737808376395
Run4_121202296407845,0.6291386092598799,0.3956523005566176,5,0.027990884764288248,0.9111043443236297,0.022854118650120017,0.038050652261964614
Run4_121202296712412,0.7016753228768967,0.6509142839846926,7,0.04435787753530394,0.015200671749058352,0.8029187124617705,0.13752273825386377
Run4_121202296875939,0.04106069302115072,1.3137492550491112,0,0.30165345569322793,0.12256707021443955,0.20881133605602945,0.36696813803631423
Run4_121202311609131,0.7811038653523147,0.29733726861978443,3,0.019790451461887956,0.0,0.03814249592101089,0.9355522166129492
Run4_121202323408629,0.6022657640958866,0.910846577945232,3,0.09824318828688543,0.03229051703378085,0.18528937484072952,0.6841769198386093
Run4_121202323971293,0.7534630412182249,0.36717315090738967,3,0.026050846129516535,0.0,0.050210076499014274,0.9151633769512076
Run4_121202324139420,0.5556351174977918,1.0819422025685865,7,0.11092362043680729,0.03713153670309471,0.495159375771976,0.35678546708812225
Run4_121276814544302,0.3804920237494131,1.2410286473474885,1,0.23430026234321633,0.07561190063907611,0.2465191605402428,0.44356867647747256
Run4_121276814768869,0.19095173637653753,1.319916853783874,1,0.28140054626610295,0.13003701388354155,0.21414410282254856,0.3744183370278178
Run4_121319782803691,0.35328383847381883,1.251331683588063,1,0.244465378315107,0.07958803583014896,0.24183232095726792,0.43411426489748395
Run4_121338017995180,0.11195901822381733,1.285325070868211,0,0.35954897858107476,0.10108742410214781,0.1949699859479011,0.3443936113688901
Run4_121339869292318,0.7266595567606411,0.4371865191716759,3,0.03288021913752118,0.010823871070051977,0.0633576244637221,0.8929382853287083
Run4_121339869579045,0.02938199940191724,1.3140192537641924,0,0.30148056478402835,0.1228599881933396,0.2087813249705017,0.36687812205214065
Run4_121339870034742,0.5679187361504308,0.7461528576906407,5,0.06693598440803869,0.787419429692163,0.05465218248794706,0.09099240341185509
Run4_121339884197670,0.17293343911573414,1.2609999900007858,0,0.3922082715010409,0.08807130707216407,0.18744054885136477,0.3322798725754458
Run4_121339897375467,0.2606395155609038,1.2852834599602687,1,0.21956745598864835,0.09614296598457889,0.29442980528218654,0.38985977274459377
Run4_121339915976030,0.41083710279647034,1.232653841501489,4,0.2262210817268337,0.07268989642629717,0.2503271221388298,0.45076189970804686
Run4_121742671661982,0.9782325992563545,0.029438914595822763,8,0.9960690738804153,0.0,0.0,0.0
Run4_121742672218843,0.3791405629999197,1.245098733234108,1,0.23838494829442816,0.07710477467348818,0.24463712673822804,0.4398731502938636
Run4_121742684731182,0.3490186473216691,1.2516928751242078,1,0.24482555028680547,0.07973733477284062,0.2416642862087358,0.43377282873162654
Run4_121812464876332,0.4537599120195476,1.2296521386272263,4,0.22330860687913417,0.07169210305825882,0.2517953255525867,0.4532039645100278
Run4_121812465170790,0.9619945727352067,0.029443583222477455,8,0.9960683541897395,0.0,0.0,0.0
