"cell","samples","orig.ident","lineage","ExclusionScore"
"CY89A_Core_15_C02_S26_comb","Mel89","CY89A","T_cell",-0.315685349464586
"CY89A_CD45_POS_10_G02_S266_comb","Mel89","CY89A","T_cell",-0.281596492766325
"CY89A_CD45_POS_6_H08_S188_comb","Mel89","CY89A","T_cell",-0.224887778214281
"cy72_CD45_pos_H05_S953_comb","Mel72","cy72","Endothelial",-0.23159625781547
"cy53_1_CD45_pos_2_D06_S1002_comb","Mel53","cy53","T_cell",-0.270997059212051
"cy79_p4_CD45_pos_PD1_pos_H07_S379_comb","Mel79","cy79","T_cell",-0.190327331735176
"CY88CD45POS_2_C07_S415_comb","Mel88","CY88CD45POS","T_cell",-0.193673231199221
"cy60_1_cd_45_pos_4_B12_S24_comb","Mel60","cy60","T_cell",-0.268670559110903
"CY94CD45POS_1_H11_S191_comb","Mel94","CY94CD45POS","Endothelial",-0.214067798621777
"cy74_CD45_pos_G08_S752_comb","Mel74","cy74","T_cell",-0.25243777920163
"CY75_1FNA_H09_S573_comb","Mel75","CY75","T_cell",-0.258766911547685
"cy79_p4_CD45_pos_PD1_pos_C09_S321_comb","Mel79","cy79","T_cell",-0.193641516124529
"cy94_cd45pos_4_A04_S4_comb","Mel94","cy94","T_cell",-0.258548174332629
"cy80_Cd45_pos_PD1_pos_S183_H03_S183_comb","Mel80","cy80","T_cell",-0.302050421551395
"CY84_PRIM_POS_ALL_6_C09_S417_comb","Mel84","CY84","NK",-0.216568992401636
"cy53_1_CD45_pos_1_E08_S56_comb","Mel53","cy53","T_cell",-0.15700057296575
"cy88_cd_45_pos_C11_S419_comb","Mel88","cy88","Endothelial",-0.093742232592348
"Cy81_FNA_CD45_F03_S255_comb","Mel81","Cy81","NK",-0.211478653485034
"cy72_CD45_pos_E06_S918_comb","Mel72","cy72","Myeloid",-0.220043367952556
"cy80_CD45_pos_PD1_pos_H12_S192_comb","Mel80","cy80","T_cell",-0.336970572924347
"CY89COREQ1_A12_S300_comb","Mel89","CY89COREQ1","T_cell",-0.19458318010657
"cy94_cd45pos_4_A01_S1_comb","Mel94","cy94","T_cell",-0.188887249080572
"cy82_CD45_pos_1_G10_S562_comb","Mel82","cy82","B_cell",-0.248734593692242
"CY89A_Core_15_H07_S91_comb","Mel89","CY89A","T_cell",-0.196526336618837
"cy74_CD45_pos_F07_S739_comb","Mel74","cy74","T_cell",-0.285064080649304
"CY58_1_CD45_C02_S986_comb","Mel58","CY58","T_cell",-0.21226145683842
"Cy74_CD45_F04_S448_comb","Mel74","Cy74","T_cell",-0.259442994958406
"CY89A_CD45_POS_6_C06_S126_comb","Mel89","CY89A","CAF",-0.209433297681448
"CY89FNA_F05_S257_comb","Mel89","CY89FNA","NK",-0.196556279916499
"CY89COREQ1_B12_S312_comb","Mel89","CY89COREQ1","T_cell",-0.210047025169993
"CY89A_CD45_POS_10_B12_S216_comb","Mel89","CY89A","NK",0.0413588141551351
"Cy74_CD45_G10_S466_comb","Mel74","Cy74","Endothelial",-0.220689361443755
"cy84_Primary_CD45_pos_H11_S479_comb","Mel84","cy84","NK",-0.000926454905092799
"cy74_CD45_pos_E11_S731_comb","Mel74","cy74","T_cell",-0.214769623435449
"cy80_CD45_neg_E10_S442_comb","Mel80","cy80","NK",0.0335979511212874
"CY94CD45POS_1_D12_S144_comb","Mel94","CY94CD45POS","T_cell",-0.230795148777546
"cy84_Met_CD45_pos_G01_S937_comb","Mel84","cy84","T_cell",-0.163957884679119
"cy58_1_CD45_pos_A05_S581_comb","Mel58","cy58","T_cell",-0.0973272387108594
"cy58_1_CD45_pos_E07_S631_comb","Mel58","cy58","Endothelial",-0.166580253887058
"cy94_cd45neg_cd90pos_C04_S316_comb","Mel94","cy94","T_cell",-0.150002976778204
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F07_S547_comb","Mel79","cy79","T_cell",-0.246093513886545
"Cy81_FNA_CD45_C03_S219_comb","Mel81","Cy81","T_cell",-0.257660779641058
"CY89A_Core_15_A11_S11_comb","Mel89","CY89A","T_cell",-0.205203409629046
"cy60_1_cd_45_pos_4_D11_S47_comb","Mel60","cy60","T_cell",-0.247718054004563
"Cy72_CD45_F03_S735_comb","Mel72","Cy72","T_cell",-0.238919142500397
"CY75_1FNA_A10_S490_comb","Mel75","CY75","T_cell",-0.193803081153035
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D02_S230_comb","Mel79","cy79","T_cell",-0.246329780394645
"cy94_cd45pos_D02_S134_comb","Mel94","cy94","Myeloid",-0.29040049442763
"cy58_1_CD45_pos_B09_S597_comb","Mel58","cy58","T_cell",-0.21114577566692
"cy79_p5_CD45_pos_PD1_pos_E06_S630_comb","Mel79","cy79","T_cell",-0.0154156681177033
"cy79_p5_CD45_pos_PD1_pos_B10_S598_comb","Mel79","cy79","NK",-0.253170344656829
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D07_S1003_comb","Mel60","cy60","T_cell",-0.248540194681488
"CY88CD45POS_2_D07_S427_comb","Mel88","CY88CD45POS","T_cell",-0.132939317464699
"CY58_1_CD45_B11_S983_comb","Mel58","CY58","NK",-0.217255047462031
"Cy81_FNA_CD45_E05_S245_comb","Mel81","Cy81","T_cell",-0.239979887671668
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_G01_S457_comb","Mel79","cy79","T_cell",-0.0951099098178356
"cy53_1_CD45_pos_1_C10_S34_comb","Mel53","cy53","NK",-0.218563535684923
"cy94_cd45pos_4_A06_S6_comb","Mel94","cy94","T_cell",-0.288417345648587
"CY88CD45_150813_C05_S317_comb","Mel88","CY88CD45","T_cell",-0.221760179023854
"Cy72_CD45_G06_S750_comb","Mel72","Cy72","T_cell",-0.199350591301325
"cy53_1_CD45_pos_2_H11_S1055_comb","Mel53","cy53","T_cell",-0.302859577382037
"cy80_CD45_pos_PD1_pos_G08_S176_comb","Mel80","cy80","T_cell",-0.307355325500048
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G06_S270_comb","Mel79","cy79","T_cell",-0.296661016303326
"CY89COREQ1_B11_S311_comb","Mel89","CY89COREQ1","CAF",-0.121428101728463
"cy60_1_cd_45_pos_3_H01_S373_comb","Mel60","cy60","T_cell",-0.297570645249486
"cy72_CD45_pos_G02_S938_comb","Mel72","cy72","Endothelial",-0.283121535111865
"cy60_1_cd_45_pos_4_E04_S52_comb","Mel60","cy60","CAF",-0.236175113579974
"cy94_cd45pos_4_G01_S73_comb","Mel94","cy94","T_cell",-0.227342679768085
"CY88CD45POS_7_E07_S247_comb","Mel88","CY88CD45POS","T_cell",-0.0240251227855698
"cy88_cd_45_pos_E11_S443_comb","Mel88","cy88","T_cell",-0.0209966837603223
"cy94_cd45pos_4_G09_S81_comb","Mel94","cy94","Endothelial",-0.208529268230642
"CY89A_CD45_POS_6_F08_S164_comb","Mel89","CY89A","T_cell",-0.307920845228879
"cy79_p4_CD45_pos_PD1_pos_E11_S347_comb","Mel79","cy79","T_cell",0.018922647839028
"cy94_cd45pos_4_E08_S56_comb","Mel94","cy94","T_cell",-0.170834395980479
"cy79_p5_CD45_pos_PD1_pos_A03_S579_comb","Mel79","cy79","T_cell",-0.208406564000184
"Cy71_CD45_F04_S544_comb","Mel71","Cy71","NK",-0.204407808251205
"cy80_CD45_pos_PD1_pos_E11_S155_comb","Mel80","cy80","B_cell",-0.100037066709288
"cy80_CD45_neg_C04_S412_comb","Mel80","cy80","T_cell",-0.285407355109413
"CY88CD45POS_7_G02_S266_comb","Mel88","CY88CD45POS","T_cell",-0.199533354643322
"CY58_1_CD45_D07_S1003_comb","Mel58","CY58","T_cell",-0.210874397025102
"cy80_Cd45_pos_PD1_pos_S187_H07_S187_comb","Mel80","cy80","NK",-0.25899214035577
"Cy71_CD45_E07_S535_comb","Mel71","Cy71","T_cell",-0.244375057543381
"cy60_1_cd_45_pos_3_F01_S349_comb","Mel60","cy60","Endothelial",-0.308170719191772
"CY58_1_CD45_F06_S1026_comb","Mel58","CY58","B_cell",-0.270664503357381
"cy79_p4_CD45_pos_PD1_pos_F10_S358_comb","Mel79","cy79","T_cell",-0.233099755107838
"cy82_CD45_pos_3_C07_S31_comb","Mel82","cy82","T_cell",-0.262137895267073
"cy88_cd_45_pos_B09_S405_comb","Mel88","cy88","T_cell",-0.253571138838851
"cy74_CD45_pos_G09_S753_comb","Mel74","cy74","T_cell",-0.355781143399784
"cy79_p4_CD45_pos_PD1_pos_F05_S353_comb","Mel79","cy79","T_cell",-0.242470763501651
"Cy81_FNA_CD45_B06_S210_comb","Mel81","Cy81","NK",-0.148330621442695
"cy74_CD45_pos_E05_S725_comb","Mel74","cy74","T_cell",-0.270161180791814
"cy80_CD45_pos_PD1_pos_D10_S142_comb","Mel80","cy80","B_cell",-0.264388700335382
"CY88CD45POS_7_B09_S213_comb","Mel88","CY88CD45POS","Malignant",0.188861271673424
"cy88_cd_45_pos_3_D09_S621_comb","Mel88","cy88","T_cell",-0.0389210699691641
"cy94_cd45pos_B07_S115_comb","Mel94","cy94","T_cell",-0.167060396178144
"cy58_1_CD45_pos_H04_S664_comb","Mel58","cy58","T_cell",-0.303037099726546
"cy88_cd_45_pos_F03_S447_comb","Mel88","cy88","T_cell",-0.303351674906915
"Cy81_FNA_CD45_A10_S202_comb","Mel81","Cy81","T_cell",-0.198010350737848
"CY89A_CD45_POS_10_B07_S211_comb","Mel89","CY89A","T_cell",-0.0492456742206615
"CY89FNA_A08_S200_comb","Mel89","CY89FNA","T_cell",-0.239202377001465
"cy58_1_CD45_pos_B11_S599_comb","Mel58","cy58","T_cell",-0.180434934672905
"cy79_p4_CD45_pos_PD1_pos_F11_S359_comb","Mel79","cy79","T_cell",-0.1850149521739
"cy53_1_CD45_pos_1_E12_S60_comb","Mel53","cy53","T_cell",-0.166885649592491
"Cy72_CD45_A10_S682_comb","Mel72","Cy72","T_cell",-0.167160617879535
"cy79_p5_CD45_pos_PD1_pos_C02_S602_comb","Mel79","cy79","T_cell",-0.23461048810793
"cy74_CD45_pos_E08_S728_comb","Mel74","cy74","T_cell",-0.220136200015014
"Cy72_CD45_A12_S684_comb","Mel72","Cy72","Endothelial",-0.209709709063047
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G04_S268_comb","Mel79","cy79","T_cell",-0.170931080250222
"cy60_1_cd_45_pos_4_H02_S86_comb","Mel60","cy60","T_cell",-0.280266099311197
"CY58_1_CD45_G02_S1034_comb","Mel58","CY58","B_cell",-0.25241180800067
"cy53_1_CD45_pos_2_A03_S963_comb","Mel53","cy53","NK",-0.295153684010172
"CY58_1_CD45_G03_S1035_comb","Mel58","CY58","T_cell",-0.220047117489448
"Cy72_CD45_D10_S718_comb","Mel72","Cy72","B_cell",-0.208193449712305
"CY94CD45POS_1_A03_S99_comb","Mel94","CY94CD45POS","B_cell",-0.169306282009942
"cy79_p4_CD45_pos_PD1_pos_A08_S296_comb","Mel79","cy79","T_cell",-0.193105432573901
"cy58_1_CD45_pos_B04_S592_comb","Mel58","cy58","NK",-0.138482872731248
"cy79_p4_CD45_pos_PD1_pos_F09_S357_comb","Mel79","cy79","T_cell",-0.215761185202379
"CY89A_Core_15_B12_S24_comb","Mel89","CY89A","NK",-0.20575491218173
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D01_S229_comb","Mel79","cy79","T_cell",-0.294959362832679
"cy53_1_CD45_pos_2_H01_S1045_comb","Mel53","cy53","Endothelial",-0.211053130323054
"cy58_1_CD45_pos_H07_S667_comb","Mel58","cy58","T_cell",-0.237623191634128
"cy79_p5_CD45_pos_PD1_pos_B03_S591_comb","Mel79","cy79","T_cell",-0.174068845419579
"CY89A_Core_15_D12_S48_comb","Mel89","CY89A","T_cell",-0.258963068730383
"cy53_1_CD45_pos_1_F07_S67_comb","Mel53","cy53","T_cell",-0.268360240003892
"cy72_CD45_pos_H06_S954_comb","Mel72","cy72","T_cell",-0.210960590976242
"cy79_p5_CD45_pos_PD1_pos_G07_S655_comb","Mel79","cy79","T_cell",-0.213996470082264
"cy79_p5_CD45_pos_PD1_pos_D05_S617_comb","Mel79","cy79","T_cell",-0.209262837203713
"cy79_p5_CD45_pos_PD1_pos_A08_S584_comb","Mel79","cy79","T_cell",-0.222482487915957
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_A11_S395_comb","Mel79","cy79","T_cell",-0.269221170896457
"cy88_cd45pos_5_E01_S241_comb","Mel88","cy88","Malignant",0.112797058300788
"cy80_Cd45_pos_Pd1_neg_S295_E07_S295_comb","Mel80","cy80","T_cell",-0.198739905284015
"cy94_cd45neg_cd90pos_D06_S330_comb","Mel94","cy94","T_cell",-0.225246906443859
"cy80_CD45_pos_PD1_pos_G11_S179_comb","Mel80","cy80","T_cell",-0.268985319357802
"cy74_CD45_pos_D10_S718_comb","Mel74","cy74","T_cell",-0.305550428191585
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H02_S278_comb","Mel79","cy79","T_cell",-0.186947618818605
"Cy72_CD45_E01_S721_comb","Mel72","Cy72","T_cell",-0.158291279081798
"CY88CD45POS_7_H03_S279_comb","Mel88","CY88CD45POS","T_cell",-0.25805367212845
"cy79_p4_CD45_pos_PD1_pos_G11_S371_comb","Mel79","cy79","T_cell",-0.248967235417615
"cy58_1_CD45_pos_G06_S654_comb","Mel58","cy58","T_cell",-0.176724862196315
"cy94_cd45pos_4_E07_S55_comb","Mel94","cy94","T_cell",-0.211219856276912
"CY89A_Core_15_G08_S80_comb","Mel89","CY89A","T_cell",-0.226524813891288
"cy94_cd45pos_4_B08_S20_comb","Mel94","cy94","Endothelial",-0.291321967733478
"Cy81_FNA_CD45_F07_S259_comb","Mel81","Cy81","T_cell",-0.226277865980654
"Cy72_CD45_B12_S696_comb","Mel72","Cy72","T_cell",-0.228988309438994
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G03_S267_comb","Mel79","cy79","T_cell",-0.218477726562895
"cy79_p4_CD45_pos_PD1_pos_A02_S290_comb","Mel79","cy79","CAF",-0.219900703203574
"cy94_cd45pos_4_E11_S59_comb","Mel94","cy94","CAF",-0.255058812852417
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G02_S266_comb","Mel79","cy79","T_cell",-0.252674089158932
"cy80_Cd45_pos_Pd1_neg_S299_E11_S299_comb","Mel80","cy80","T_cell",-0.264384084502156
"cy60_1_cd_45_pos_3_E09_S345_comb","Mel60","cy60","T_cell",-0.162448880390596
"cy53_1_CD45_pos_1_D09_S45_comb","Mel53","cy53","Endothelial",-0.218308292660944
"cy80_CD45_pos_PD1_pos_D01_S133_comb","Mel80","cy80","T_cell",-0.137179864966315
"cy79_p4_CD45_pos_PD1_pos_E08_S344_comb","Mel79","cy79","T_cell",-0.20897844784658
"cy88_cd_45_pos_F04_S448_comb","Mel88","cy88","T_cell",-0.213236641054589
"cy79_p4_CD45_pos_PD1_pos_G04_S364_comb","Mel79","cy79","T_cell",-0.237545967689995
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F05_S449_comb","Mel79","cy79","T_cell",-0.277564857924034
"CY88CD45_150813_D01_S325_comb","Mel88","CY88CD45","Malignant",0.0777376690286966
"cy80_CD45_neg_G08_S464_comb","Mel80","cy80","T_cell",-0.244355700620057
"cy80_Cd45_pos_PD1_pos_D05_S89_comb","Mel80","cy80","T_cell",-0.214828948174947
"CY58_1_CD45_A08_S968_comb","Mel58","CY58","NK",-0.269446624185464
"CY94CD45POS_1_D01_S133_comb","Mel94","CY94CD45POS","T_cell",-0.233833134343431
"Cy72_CD45_H08_S764_comb","Mel72","Cy72","T_cell",-0.205909217758567
"CY89A_Core_15_H04_S88_comb","Mel89","CY89A","T_cell",-0.176336737397868
"cy79_p5_CD45_pos_PD1_pos_H01_S661_comb","Mel79","cy79","T_cell",-0.280714530113595
"cy79_p4_CD45_pos_PD1_pos_D09_S333_comb","Mel79","cy79","T_cell",-0.255390976514422
"cy79_p3_CD45_pos_PD1_neg_F12_S168_comb","Mel79","cy79","T_cell",-0.209438788119804
"cy79_p5_CD45_pos_PD1_pos_H04_S664_comb","Mel79","cy79","T_cell",-0.263392917796985
"cy53_1_CD45_pos_1_C12_S36_comb","Mel53","cy53","T_cell",-0.256674405079125
"cy74_CD45_pos_D06_S714_comb","Mel74","cy74","T_cell",-0.261807672985894
"CY84_PRIM_POS_ALL_7_G05_S269_comb","Mel84","CY84","T_cell",-0.240449472501587
"cy80_CD45_pos_PD1_pos_A12_S108_comb","Mel80","cy80","NK",-0.316774240873211
"cy80_Cd45_pos_PD1_pos_S118_E10_S118_comb","Mel80","cy80","T_cell",-0.306020783066051
"cy60_1_cd_45_pos_3_G03_S363_comb","Mel60","cy60","T_cell",-0.200153833787025
"CY58_1_CD45_C07_S991_comb","Mel58","CY58","NK",-0.219156819895806
"cy74_CD45_pos_H05_S761_comb","Mel74","cy74","T_cell",-0.199196557468117
"CY58_1_CD45_G01_S1033_comb","Mel58","CY58","B_cell",-0.214215622588341
"cy80_Cd45_pos_PD1_pos_S167_G11_S167_comb","Mel80","cy80","T_cell",-0.302373623814159
"Cy81_FNA_CD45_G06_S270_comb","Mel81","Cy81","T_cell",-0.20002076617122
"Cy81_FNA_CD45_A11_S203_comb","Mel81","Cy81","T_cell",-0.227276174141303
"Cy71_CD45_H09_S573_comb","Mel71","Cy71","T_cell",-0.190061553324372
"Cy72_CD45_G10_S754_comb","Mel72","Cy72","T_cell",-0.222234896270743
"CY88CD45_150813_C09_S321_comb","Mel88","CY88CD45","T_cell",-0.115908091494653
"cy79_p4_CD45_pos_PD1_pos_A07_S295_comb","Mel79","cy79","T_cell",-0.25199330462791
"cy58_1_CD45_pos_E01_S625_comb","Mel58","cy58","T_cell",-0.199267572701421
"Cy74_CD45_G09_S465_comb","Mel74","Cy74","T_cell",-0.185222711407571
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_F04_S256_comb","Mel79","cy79","NK",-0.212816448381736
"cy79_p4_CD45_pos_PD1_pos_H12_S384_comb","Mel79","cy79","NK",-0.315199285197452
"cy94_cd45pos_4_H07_S91_comb","Mel94","cy94","T_cell",-0.184359722528
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D12_S528_comb","Mel79","cy79","T_cell",-0.154787662244788
"cy60_1_cd_45_pos_4_A01_S1_comb","Mel60","cy60","T_cell",-0.227376224878934
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D03_S231_comb","Mel79","cy79","T_cell",-0.244798918625341
"cy79_p4_CD45_pos_PD1_pos_H08_S380_comb","Mel79","cy79","CAF",-0.213944709376547
"CY94CD45POS_1_A01_S97_comb","Mel94","CY94CD45POS","T_cell",-0.248560668087103
"CY89A_CD45_POS_6_B01_S109_comb","Mel89","CY89A","T_cell",-0.227861162258179
"cy74_CD45_pos_B08_S692_comb","Mel74","cy74","T_cell",-0.228532270343895
"Cy74_CD45_F11_S455_comb","Mel74","Cy74","T_cell",-0.199287076690748
"cy72_CD45_pos_H02_S950_comb","Mel72","cy72","T_cell",-0.247972637135421
"cy79_p4_CD45_pos_PD1_pos_E03_S339_comb","Mel79","cy79","T_cell",-0.198149491072239
"cy79_p5_CD45_pos_PD1_pos_A11_S587_comb","Mel79","cy79","T_cell",-0.235139356602879
"cy60_1_cd_45_pos_4_H07_S91_comb","Mel60","cy60","T_cell",-0.288154433713171
"cy84_Primary_CD45_pos_C03_S411_comb","Mel84","cy84","T_cell",-0.213101761161042
"cy79_p5_CD45_pos_PD1_pos_A02_S578_comb","Mel79","cy79","T_cell",-0.189075563090525
"CY88CD45POS_7_D02_S230_comb","Mel88","CY88CD45POS","NK",0.132939709989089
"cy72_CD45_pos_F12_S936_comb","Mel72","cy72","T_cell",-0.249345137442152
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_B04_S208_comb","Mel79","cy79","T_cell",-0.305181253294428
"CY58_1_CD45_H10_S1054_comb","Mel58","CY58","NK",-0.1995076550036
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C02_S506_comb","Mel79","cy79","T_cell",-0.239901650567325
"cy80_CD45_neg_B12_S408_comb","Mel80","cy80","T_cell",-0.246186701408239
"cy79_p4_CD45_pos_PD1_pos_H02_S374_comb","Mel79","cy79","T_cell",-0.252252144997732
"cy53_1_CD45_pos_1_G04_S76_comb","Mel53","cy53","NK",-0.209758322774233
"cy58_1_CD45_pos_C02_S602_comb","Mel58","cy58","T_cell",-0.161486247498348
"cy80_Cd45_pos_PD1_pos_D06_S90_comb","Mel80","cy80","Endothelial",-0.283158653727967
"cy72_CD45_pos_E11_S923_comb","Mel72","cy72","CAF",-0.255784474662572
"cy74_CD45_pos_C01_S697_comb","Mel74","cy74","T_cell",-0.247696144080278
"cy82_CD45_pos_1_C04_S508_comb","Mel82","cy82","T_cell",-0.133998285249518
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C06_S414_comb","Mel79","cy79","T_cell",-0.174758482873688
"cy94_cd45pos_A12_S108_comb","Mel94","cy94","T_cell",-0.134275832953595
"Cy72_CD45_E03_S723_comb","Mel72","Cy72","T_cell",-0.207152448510852
"cy84_Primary_CD45_pos_A01_S385_comb","Mel84","cy84","T_cell",-0.216923999703359
"cy58_1_CD45_pos_G07_S655_comb","Mel58","cy58","T_cell",-0.213335190362
"Cy72_CD45_B11_S695_comb","Mel72","Cy72","T_cell",-0.122443824060684
"Cy74_CD45_D09_S429_comb","Mel74","Cy74","T_cell",-0.206915509285252
"cy88_cd45pos_5_B03_S207_comb","Mel88","cy88","T_cell",-0.232205642639537
"Cy72_CD45_H09_S765_comb","Mel72","Cy72","T_cell",-0.097198846144475
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E08_S536_comb","Mel79","cy79","T_cell",-0.242418855449597
"cy58_1_CD45_pos_F07_S643_comb","Mel58","cy58","Endothelial",-0.204597696060652
"cy74_CD45_pos_F09_S741_comb","Mel74","cy74","NK",-0.149398992951537
"cy80_Cd45_pos_PD1_pos_A08_S20_comb","Mel80","cy80","NK",-0.191447607977509
"cy82_CD45_pos_2_D04_S520_comb","Mel82","cy82","T_cell",-0.27359250969451
"cy79_p5_CD45_pos_PD1_pos_B02_S590_comb","Mel79","cy79","NK",-0.225233751121586
"Cy72_CD45_G07_S751_comb","Mel72","Cy72","Endothelial",-0.158458386281266
"cy88_cd_45_pos_3_C07_S607_comb","Mel88","cy88","Myeloid",-0.123957515282048
"Cy72_CD45_G05_S749_comb","Mel72","Cy72","T_cell",-0.184098783429425
"cy80_CD45_neg_C07_S415_comb","Mel80","cy80","NK",-0.246277503285139
"Cy71_CD45_D03_S519_comb","Mel71","Cy71","NK",-0.234228171911698
"cy79_p3_CD45_pos_PD1_neg_E07_S151_comb","Mel79","cy79","T_cell",-0.223314589507598
"cy88_cd_45_pos_E03_S435_comb","Mel88","cy88","Malignant",-0.0788446076503778
"Cy81_FNA_CD45_F05_S257_comb","Mel81","Cy81","NK",-0.20867878917449
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D10_S238_comb","Mel79","cy79","Endothelial",-0.245879657022925
"cy58_1_CD45_pos_C10_S610_comb","Mel58","cy58","NK",-0.292552549621965
"cy79_p4_CD45_pos_PD1_pos_B06_S306_comb","Mel79","cy79","T_cell",-0.221846358875096
"cy80_CD45_pos_PD1_pos_G04_S172_comb","Mel80","cy80","NK",-0.186600683177676
"Cy72_CD45_C11_S707_comb","Mel72","Cy72","Myeloid",-0.256456467571317
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B07_S403_comb","Mel79","cy79","CAF",0.0253073601878137
"cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H11_S287_comb","Mel79","cy79","T_cell",-0.302527514504024
"cy88_cd45pos_5_E05_S245_comb","Mel88","cy88","T_cell",-0.143417701067331
"cy58_1_CD45_pos_H10_S670_comb","Mel58","cy58","T_cell",-0.282259330060868
"cy80_CD45_pos_PD1_pos_E06_S150_comb","Mel80","cy80","T_cell",-0.342811844259769
"cy80_Cd45_pos_PD1_pos_B10_S46_comb","Mel80","cy80","T_cell",-0.354556425120273
"CY88CD45POS_2_E05_S437_comb","Mel88","CY88CD45POS","T_cell",-0.0579788501118352
"cy94_cd45pos_H10_S190_comb","Mel94","cy94","CAF",-0.235540680221216
"cy53_1_CD45_pos_1_G03_S75_comb","Mel53","cy53","NK",-0.295282493705292
"cy79_p3_CD45_pos_PD1_neg_E02_S146_comb","Mel79","cy79","T_cell",-0.273614710111889
"CY89A_CD45_POS_10_F02_S254_comb","Mel89","CY89A","T_cell",-0.0796464634416807
"cy72_CD45_pos_F05_S929_comb","Mel72","cy72","Endothelial",-0.228906138311598
"cy53_1_CD45_pos_2_B04_S976_comb","Mel53","cy53","T_cell",-0.233682974498303
"cy53_1_CD45_pos_1_B12_S24_comb","Mel53","cy53","NK",-0.304521542417809
"cy79_p5_CD45_pos_PD1_pos_D10_S622_comb","Mel79","cy79","T_cell",-0.284488438430805
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B06_S402_comb","Mel79","cy79","T_cell",-0.0656674688525697
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_G08_S464_comb","Mel79","cy79","T_cell",-0.313856699319616
"cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F06_S450_comb","Mel79","cy79","T_cell",-0.296650893130364
"cy79_p5_CD45_pos_PD1_pos_B05_S593_comb","Mel79","cy79","NK",-0.285364705536457
"CY58_1_CD45_G06_S1038_comb","Mel58","CY58","T_cell",-0.178210485691323
"cy88_cd_45_pos_3_D11_S623_comb","Mel88","cy88","T_cell",-0.00271528986172204
"cy80_Cd45_pos_PD1_pos_S158_G02_S158_comb","Mel80","cy80","T_cell",-0.291605423534901
"cy53_1_CD45_pos_2_D08_S1004_comb","Mel53","cy53","NK",-0.207213400993917
"cy79_p4_CD45_pos_PD1_pos_C02_S314_comb","Mel79","cy79","T_cell",-0.170980790473205
"CY94CD45POS_1_D10_S142_comb","Mel94","CY94CD45POS","T_cell",-0.23874805353216
"cy80_CD45_pos_PD1_pos_B01_S109_comb","Mel80","cy80","NK",-0.210503086868488
"cy60_1_cd_45_pos_4_A09_S9_comb","Mel60","cy60","T_cell",-0.202421101252442
"cy80_Cd45_pos_PD1_pos_S114_E06_S114_comb","Mel80","cy80","T_cell",-0.290234829244163
"cy80_CD45_neg_F05_S449_comb","Mel80","cy80","T_cell",-0.237383555778142
"cy60_1_cd_45_pos_4_D09_S45_comb","Mel60","cy60","T_cell",-0.258549061641399
"cy82_CD45_pos_2_B10_S502_comb","Mel82","cy82","T_cell",-0.186731542391839
"cy88_cd_45_pos_E09_S441_comb","Mel88","cy88","T_cell",-0.250224441438256
"cy79_p4_CD45_pos_PD1_pos_H01_S373_comb","Mel79","cy79","T_cell",-0.276764675220843
"cy84_Primary_CD45_pos_C04_S412_comb","Mel84","cy84","B_cell",-0.286840310724397
"cy74_CD45_pos_D07_S715_comb","Mel74","cy74","NK",-0.293883363348109
"cy94_cd45pos_G06_S174_comb","Mel94","cy94","T_cell",-0.181823639855927
"cy72_CD45_pos_G06_S942_comb","Mel72","cy72","T_cell",-0.212133381853835
"cy58_1_CD45_pos_F06_S642_comb","Mel58","cy58","T_cell",-0.295175256179829
"CY58_1_CD45_G07_S1039_comb","Mel58","CY58","T_cell",-0.212780881650956
"cy80_Cd45_pos_PD1_pos_B03_S39_comb","Mel80","cy80","T_cell",-0.318261695629535
"cy94_cd45neg_cd90pos_G12_S372_comb","Mel94","cy94","T_cell",-0.299398832117108
"cy72_CD45_pos_C04_S892_comb","Mel72","cy72","T_cell",-0.28466546095952
"CY89A_Core_15_G03_S75_comb","Mel89","CY89A","NK",-0.19514904546948
