"cell","samples","orig.ident","lineage","ExclusionScore"
"cy80_Cd45_pos_Pd1_neg_S248_C08_S248_comb","Mel80","cy80","B_cell",-0.251997872646167
"cy84_Primary_CD45_pos_E06_S438_comb","Mel84","cy84","B_cell",-0.231452869842866
"CY88CD45POS_7_D01_S229_comb","Mel88","CY88CD45POS","CAF",-0.197848466882635
"cy80_CD_90_pos_B04_S880_comb","Mel80","cy80","CAF",-0.0998625197686877
"cy80_CD45_neg_E12_S924_comb","Mel80","cy80","Endothelial",-0.215651704696694
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B10_S982_comb","Mel60","cy60","B_cell",-0.152984421291953
"cy80_Cd45_pos_PD1_pos_A02_S14_comb","Mel80","cy80","B_cell",-0.298025264040567
"CY89A_CD45_POS_10_A11_S203_comb","Mel89","CY89A","B_cell",-0.220168475820047
"cy60_1_cd_45_pos_4_G02_S74_comb","Mel60","cy60","B_cell",-0.266856325816584
"CY88_3_D06_S618_comb","Mel88","CY88","Malignant",0.637347398032914
"cy94_cd45neg_cd90pos_B12_S312_comb","Mel94","cy94","B_cell",-0.221571051108513
"cy84_Primary_CD45_pos_G04_S460_comb","Mel84","cy84","B_cell",-0.202431605539711
"Cy72_CD45_G09_S753_comb","Mel72","Cy72","B_cell",-0.21506348208945
"cy60_1_cd_45_pos_4_D12_S48_comb","Mel60","cy60","B_cell",-0.200553828639564
"CY94CD45POS_1_B05_S113_comb","Mel94","CY94CD45POS","Myeloid",-0.255759051278175
"cy80_CD45_neg_D02_S422_comb","Mel80","cy80","B_cell",-0.188382011555317
"CY94CD45POS_1_C04_S124_comb","Mel94","CY94CD45POS","CAF",-0.285444055807831
"CY88CD45POS_7_F05_S257_comb","Mel88","CY88CD45POS","B_cell",-0.216780835378239
"cy84_Primary_CD45_neg_G03_S1035_comb","Mel84","cy84","CAF",-0.0319814851617279
"cy94_cd45neg_cd90pos_E12_S348_comb","Mel94","cy94","Endothelial",-0.248642814671313
"cy82_CD45_pos_1_B12_S504_comb","Mel82","cy82","B_cell",-0.229011902904994
"cy94_cd45pos_C08_S128_comb","Mel94","cy94","B_cell",-0.221768721385488
"cy79_p5_CD45_neg_PDL1_neg_B04_S784_comb","Mel79","cy79","Malignant",0.49993577571083
"cy80_Cd45_pos_Pd1_neg_S222_B06_S222_comb","Mel80","cy80","B_cell",-0.244343729240597
"CY88CD45POS_7_D03_S231_comb","Mel88","CY88CD45POS","B_cell",-0.19188549775378
"cy88_cd_45_pos_E05_S437_comb","Mel88","cy88","B_cell",-0.162471413175451
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D06_S1002_comb","Mel60","cy60","B_cell",-0.26923147697225
"cy88_cd_45_pos_G05_S461_comb","Mel88","cy88","Myeloid",-0.274204957518881
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F09_S549_comb","Mel79","cy79","B_cell",-0.28763735667812
"cy53_1_CD45_pos_2_B12_S984_comb","Mel53","cy53","Myeloid",-0.202537817054329
"CY94CD45POS_1_F05_S161_comb","Mel94","CY94CD45POS","B_cell",-0.18719342357609
